上背温度直接预测-RandomForest-n5-sp2-dep4-r8290602:  {'MSE': '5.2654', 'RMSE': '2.2946', 'MAE': '1.8240', 'R2': '0.2924', 'train_r2': '0.5880', 'aligned MSE': '5.2578', 'aligned RMSE': '2.2930', 'aligned MAE': '1.8125', 'aligned r2': '0.2934'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r8061770:  {'MSE': '5.4656', 'RMSE': '2.3379', 'MAE': '1.8248', 'R2': '0.2655', 'train_r2': '0.5520', 'aligned MSE': '5.4922', 'aligned RMSE': '2.3435', 'aligned MAE': '1.8125', 'aligned r2': '0.2619'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r8568509:  {'MSE': '5.1710', 'RMSE': '2.2740', 'MAE': '1.7215', 'R2': '0.3051', 'train_r2': '0.5360', 'aligned MSE': '5.2070', 'aligned RMSE': '2.2819', 'aligned MAE': '1.7266', 'aligned r2': '0.3003'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r3789567:  {'MSE': '4.8066', 'RMSE': '2.1924', 'MAE': '1.6979', 'R2': '0.3541', 'train_r2': '0.5826', 'aligned MSE': '4.7617', 'aligned RMSE': '2.1821', 'aligned MAE': '1.6953', 'aligned r2': '0.3601'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r5011391:  {'MSE': '4.4177', 'RMSE': '2.1018', 'MAE': '1.5966', 'R2': '0.4063', 'train_r2': '0.5620', 'aligned MSE': '4.3711', 'aligned RMSE': '2.0907', 'aligned MAE': '1.5859', 'aligned r2': '0.4126'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r4622466:  {'MSE': '5.2149', 'RMSE': '2.2836', 'MAE': '1.7669', 'R2': '0.2992', 'train_r2': '0.5762', 'aligned MSE': '5.3906', 'aligned RMSE': '2.3218', 'aligned MAE': '1.7812', 'aligned r2': '0.2756'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r8046632:  {'MSE': '5.5755', 'RMSE': '2.3613', 'MAE': '1.8702', 'R2': '0.2507', 'train_r2': '0.5073', 'aligned MSE': '5.6094', 'aligned RMSE': '2.3684', 'aligned MAE': '1.8594', 'aligned r2': '0.2462'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r7934541:  {'MSE': '5.8867', 'RMSE': '2.4263', 'MAE': '1.8513', 'R2': '0.2089', 'train_r2': '0.5331', 'aligned MSE': '5.7773', 'aligned RMSE': '2.4036', 'aligned MAE': '1.8203', 'aligned r2': '0.2236'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r8257443:  {'MSE': '5.6936', 'RMSE': '2.3861', 'MAE': '1.8925', 'R2': '0.2349', 'train_r2': '0.4869', 'aligned MSE': '5.7227', 'aligned RMSE': '2.3922', 'aligned MAE': '1.8672', 'aligned r2': '0.2310'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r6320019:  {'MSE': '4.9889', 'RMSE': '2.2336', 'MAE': '1.7353', 'R2': '0.3296', 'train_r2': '0.5566', 'aligned MSE': '4.8711', 'aligned RMSE': '2.2071', 'aligned MAE': '1.6953', 'aligned r2': '0.3454'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r7442202:  {'MSE': '5.3911', 'RMSE': '2.3219', 'MAE': '1.7919', 'R2': '0.2755', 'train_r2': '0.5398', 'aligned MSE': '5.5312', 'aligned RMSE': '2.3519', 'aligned MAE': '1.7969', 'aligned r2': '0.2567'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r5672957:  {'MSE': '5.2785', 'RMSE': '2.2975', 'MAE': '1.7920', 'R2': '0.2906', 'train_r2': '0.5657', 'aligned MSE': '5.2031', 'aligned RMSE': '2.2810', 'aligned MAE': '1.7812', 'aligned r2': '0.3008'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r2649680:  {'MSE': '4.9125', 'RMSE': '2.2164', 'MAE': '1.7451', 'R2': '0.3398', 'train_r2': '0.5173', 'aligned MSE': '4.8086', 'aligned RMSE': '2.1929', 'aligned MAE': '1.7266', 'aligned r2': '0.3538'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r9963830:  {'MSE': '5.1504', 'RMSE': '2.2694', 'MAE': '1.7534', 'R2': '0.3079', 'train_r2': '0.5554', 'aligned MSE': '5.3047', 'aligned RMSE': '2.3032', 'aligned MAE': '1.7812', 'aligned r2': '0.2871'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r8363383:  {'MSE': '5.2473', 'RMSE': '2.2907', 'MAE': '1.8348', 'R2': '0.2948', 'train_r2': '0.5381', 'aligned MSE': '5.4414', 'aligned RMSE': '2.3327', 'aligned MAE': '1.8516', 'aligned r2': '0.2688'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r319617:  {'MSE': '5.5567', 'RMSE': '2.3573', 'MAE': '1.8338', 'R2': '0.2533', 'train_r2': '0.5793', 'aligned MSE': '5.5625', 'aligned RMSE': '2.3585', 'aligned MAE': '1.8281', 'aligned r2': '0.2525'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r4083755:  {'MSE': '4.8157', 'RMSE': '2.1945', 'MAE': '1.7411', 'R2': '0.3528', 'train_r2': '0.5456', 'aligned MSE': '4.7070', 'aligned RMSE': '2.1696', 'aligned MAE': '1.7109', 'aligned r2': '0.3674'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r6263857:  {'MSE': '5.8971', 'RMSE': '2.4284', 'MAE': '1.8854', 'R2': '0.2075', 'train_r2': '0.5215', 'aligned MSE': '6.0273', 'aligned RMSE': '2.4551', 'aligned MAE': '1.8984', 'aligned r2': '0.1900'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r5595877:  {'MSE': '5.5597', 'RMSE': '2.3579', 'MAE': '1.8525', 'R2': '0.2529', 'train_r2': '0.5260', 'aligned MSE': '5.6641', 'aligned RMSE': '2.3799', 'aligned MAE': '1.8594', 'aligned r2': '0.2388'}
上背温度直接预测-RandomForest-n5-sp2-dep4-r2652730:  {'MSE': '5.6865', 'RMSE': '2.3846', 'MAE': '1.8259', 'R2': '0.2358', 'train_r2': '0.5642', 'aligned MSE': '5.7617', 'aligned RMSE': '2.4004', 'aligned MAE': '1.8359', 'aligned r2': '0.2257'}
